Date,ETH,BCH,DOGE,ADA
22/9/19,-0.0,,-0.0,-0.0
23/9/19,-0.048058898,,-0.045761967,-0.054396611
24/9/19,0.1939041,,0.111124693,0.218406247
25/9/19,0.024720561,,-0.0,0.049250393
26/9/19,-0.0,,-0.0,-0.0
27/9/19,0.0,,0.0,0.0
28/9/19,0.001727713,,-0.011488329,0.013125912
29/9/19,-0.024802135,,-0.005475965,-0.038288505
30/9/19,-0.066350133,,-0.083072236,-0.045516208
1/10/19,-0.0,,-0.0,-0.0
2/10/19,-0.025738988,,0.011683526,-0.025559672
3/10/19,-0.031276322,,-0.010950831,-0.027129942
4/10/19,-0.004910928,,0.003662529,-0.028912701
5/10/19,0.003979539,,0.001265961,0.009370716
6/10/19,-0.035516942,,-0.010745953,-0.021917289
7/10/19,0.0,,0.0,0.0
8/10/19,-0.004161471,,0.009223011,0.003875974
9/10/19,0.064434695,,0.018276711,0.028238296
10/10/19,0.007713192,,0.022441937,0.01833603
11/10/19,-0.0,,-0.0,-0.0
12/10/19,-0.0,,0.0,0.0
13/10/19,0.0,,0.0,0.0
14/10/19,0.031168387,,0.044163857,0.011084451
15/10/19,-0.0,,-0.0,-0.0
16/10/19,-0.0,,0.0,-0.0
17/10/19,-0.015300472,,-0.046417502,-0.023936286
18/10/19,-0.0,,-0.0,-0.0
19/10/19,-0.0,,0.0,0.0
20/10/19,0.019769527,,-0.000920353,0.012495381
21/10/19,-0.0,,-0.0,-0.0
22/10/19,-0.0,,-0.0,-0.0
23/10/19,-0.0,,-0.0,-0.0
24/10/19,-0.0,,0.0,0.0
25/10/19,0.0,,0.0,0.0
26/10/19,-0.0,,-0.0,-0.0
27/10/19,0.023456642,,0.018156256,0.04016993
28/10/19,0.011109097,,0.005126756,-0.000237164
29/10/19,0.0,,-0.0,0.0
30/10/19,0.039245916,,0.012034024,0.039948921
31/10/19,-0.005201074,,-0.003553499,-0.010847401
1/11/19,0.0,,0.0,0.0
2/11/19,0.0,,-0.0,0.0
3/11/19,-0.007518213,,0.00340861,-0.016419167
4/11/19,0.0,,-0.0,0.035819098
5/11/19,-0.015866141,,-0.006811435,-0.020846019
6/11/19,0.0,,0.0,0.0
7/11/19,-0.0,,0.0,-0.0
8/11/19,-0.0,,-0.0,-0.0
9/11/19,0.0,,0.0,0.0
10/11/19,0.021774299,,0.0,0.033162459
11/11/19,0.021287641,,0.018859847,0.015864225
12/11/19,0.0,,0.0,0.0
13/11/19,-0.005437114,,0.009536427,0.010119682
14/11/19,-0.017103599,,-0.00752235,-0.01092399
15/11/19,-0.0,,-0.0,0.0
16/11/19,0.0,,0.0,-0.0
17/11/19,0.007919428,,-0.01316605,0.025881944
18/11/19,-0.0,,-0.0,-0.0
19/11/19,-0.0,,-0.0,-0.0
20/11/19,-0.0,,0.0,-0.0
21/11/19,-0.081718218,,-0.047160175,-0.063854159
22/11/19,-0.0,,-0.0,-0.0
23/11/19,0.015129685,,0.019782622,0.0264121
24/11/19,0.081470667,,0.071872733,0.082283236
25/11/19,-0.040124409,,-0.009316076,-0.022053481
26/11/19,-0.012143689,,-0.005486497,-0.025674288
27/11/19,-0.034326407,,-0.023763408,-0.060544456
28/11/19,0.012527361,,0.021251453,-0.000769329
29/11/19,0.025223257,,0.037704464,0.05631782
30/11/19,0.020919897,0.029677113,0.02902743,0.02328822
1/12/19,-0.0,-0.0,-0.0,-0.0
2/12/19,0.013895607,0.003224076,0.020249566,0.042076151
3/12/19,0.010006168,0.01020777,0.018738041,0.00475688
4/12/19,-0.0,-0.0,-0.0,-0.0
5/12/19,0.0,0.0,0.0,0.0
6/12/19,0.0,0.0,0.0,0.0
7/12/19,-0.008863687,-0.008682576,-0.004750603,0.004434597
8/12/19,0.0,0.0,0.0,0.0
9/12/19,-0.0,-0.0,-0.0,-0.0
10/12/19,0.012425913,0.008341217,0.015371701,0.024195825
11/12/19,-0.0,0.0,0.0,0.0
12/12/19,0.0,-0.0,-0.0,-0.0
13/12/19,-0.0,0.0,-0.0,0.0
14/12/19,-0.0,-0.0,-0.0,-0.0
15/12/19,0.004714169,0.005136915,0.01110861,0.007426798
16/12/19,-0.0,-0.0,-0.0,-0.0
17/12/19,0.085280036,0.106453712,0.054045926,0.074198156
18/12/19,0.085656669,0.068709465,0.035328478,0.081498524
